id,name,parish,latitude,longitude,ownerName,facilities
d881776e-bbb4-4593-80d2-2671440fca6a,Ouaisne Le Mont du Ouaisne St. Brelade,St. Brelade,49.17669963,-2.18378447,,"DISABLED,BABY_CHANGING"
dcd14008-e760-480c-91e7-7a3f0d894372,Gorey Pier Gorey Pier St. Martin,St. Martin,49.1972833,-2.02181761,Ports of Jersey,
e032e200-57f3-4bdf-be54-be6996daa17d,Rozel Pier La Brecque du Nord Trinity,Trinity,49.23780303,-2.04453508,Ports of Jersey,"DISABLED,BABY_CHANGING"
e901b70d-a550-4edb-90d2-5a4f0d5acc55,Accessible Toilet Le Braye Slipway La Grande Route des Mielles St. Brelade,St. Brelade,49.1988421,-2.22394068,,"GENDER_NEUTRAL,DISABLED,BABY_CHANGING"
f256173e-7267-4364-83bc-8c4e6e5a0367,West Park Promenade Esplanade St. Helier,St. Helier,49.18713173,-2.11685121,Government of Jersey,DISABLED
f4fb8562-366f-41c8-b505-2489e2c2f334,Green Island La Rue de Samares St. Clement,St. Clement,49.16357632,-2.07336716,,
f5f2adb9-0300-4553-bf82-48dcb0db4859,Red Houses La Route des Quennevais St. Brelade,St. Brelade,49.19099016,-2.20024761,Government of Jersey,DISABLED
f6758dc1-c58d-4d90-9423-e4efcb7e22ce,Greve de Lecq La Greve de Lecq St. Ouen,St. Ouen,49.24691776,-2.20136509,Government of Jersey,"BEACH_SHOWER,DISABLED,BABY_CHANGING"
f727428a-b63f-4387-99d4-7e67eac0f944,Millard's Corner La Greve d'Azette St. Clement,St. Clement,49.17335334,-2.08947872,Government of Jersey,DISABLED
febf356b-c2d2-4c98-a5bb-3ca25a237a02,St. Catherine's La Route de St. Catherine St. Martin,St. Martin,49.22469746,-2.02028608,Ports of Jersey,DISABLED
