id,createdAt,location,parish,latitude,longitude,notes,services
dd4c3497-9086-4572-9415-0894571d8d75,2024-06-17T07:23:12.000Z,Durrel Wildlife Conservation Trust Car Park,Trinity,49.23007,-2.075429,,METAL_PACKAGING_DRINK_CANS
e3954eaf-1f06-4f90-b8ff-3b87966f76e9,2024-06-17T07:23:12.000Z,Waitrose Red Houses,St Brelade,49.19031,-2.20084,,BATTERIES
e4f7dfe6-de4b-4dcc-9739-dea793d3eb29,2024-06-17T07:23:12.000Z,DVS,St Helier,49.17382,-2.11131,,BATTERIES
e53b72bf-4b13-4ccb-a5f1-218e86592130,2024-06-17T07:23:12.000Z,Co-op Locale St Brelade,St Brelade,49.19109,-2.19982,,"BATTERIES,CARDBOARD,GLASS,METAL_PACKAGING,PAPER,PLASTIC_BOTTLES"
e79a1a6d-764d-489a-83c9-156b67724631,2024-06-17T07:23:12.000Z,Les Creux Country Park,St Brelade,49.186714,-2.210764,,BATTERIES
ee23142a-7884-4ef9-bf8c-a63bcd47eaa6,2024-06-17T07:23:12.000Z,Co-op Locale Beaumont,St Peter,49.19753,-2.15922,,BATTERIES
f190d3e4-dba5-43f1-a0fe-6713c6f9d97f,2024-06-17T07:23:12.000Z,Co-op Locale Georgetown,St Saviour,49.17909,-2.09457,,BATTERIES
f6d4d1da-de09-43b3-8a65-8c355966e6f4,2024-06-17T07:23:12.000Z,FB Fields,St Clement,49.17394,-2.08499,Inner road car park,"BATTERIES,CARDBOARD,METAL_PACKAGING,MIXED_TEXTILES,PAPER,PLASTIC_BOTTLES"
f78d4c9c-636b-4721-b97a-e1f7fb988ac0,2024-06-17T07:23:12.000Z,Central Market,St Helier,49.18509,-2.10458,,BATTERIES
f8c81b30-c7d3-47de-bb2c-02969aeb2043,2024-06-17T07:23:12.000Z,Millbrook Park,St Lawrence,49.19812,-2.14138,,METAL_PACKAGING_DRINK_CANS
