id,name,stopNumber,latitude,longitude,shelter
0de4c9a4-ec0b-4353-b204-d1d14866e181,Clos Le Troquer W,4638,49.21697128,-2.04707867,1
0e3d4247-bedf-4c21-be0a-7727ec34352a,Grasett Park W,3473,49.17726263,-2.08933743,
0e4bbd00-e537-4dd6-8370-b13483d227ac,Grenville Court S,3924,49.1681214,-2.02904057,
0e54ca52-2119-47bb-8e0e-143654cb5c18,Marett Road W,2642,49.17701857,-2.10194045,1
0e5f0532-44b0-4032-99a7-6e3e2fae589a,Quennevais Drive E,3582,49.18904277,-2.20966699,
0ea2c834-56bd-42b2-8baf-569f0553b399,Mont Fallu N,2849,49.2086484,-2.17565153,1
0ea9c6b6-0363-4bb0-ae93-508b0e3c4135,L'Horizon Hotel E,3248,49.18499916,-2.19338102,1
0ec328f3-f14a-4087-a4f8-c3852308809e,St Peters Arsenal S,3438,49.20168695,-2.18024409,
0f25a3f6-5e5f-4797-949f-2ae29195f651,Mont Cantel,3276,49.19412173,-2.10432811,
0f2602ec-16cd-48aa-aa37-886651cbb49c,Victoria Village,3962,49.21648493,-2.08152917,
0f50748b-d48b-4b93-a43a-9428e64d9bc6,La Grange S,3749,49.212883,-2.09712297,
0f6b051d-6460-44a2-b715-58f9f53dfd17,Hougue des Platons W,4272,49.24568784,-2.10153365,
0f9d41f6-2f0c-408b-89de-a602a14bbad1,Le Relais N,4594,49.24057332,-2.24394471,
0fa14641-f935-4af7-9bc4-bda1a9efead1,La Piece Mauger N,2848,49.2246619,-2.06810707,
0fc45d52-a503-4462-bafa-e1ba88a88a45,Aubin Lane,2363,49.17954099,-2.09052237,
0fc5d506-08d4-4322-88b6-a38d6934d5a8,Devonshire Place,4656,49.18705865,-2.10835294,
0fd19938-7322-42e1-b042-24f863f6ecbc,Grenville Court N,2732,49.16837171,-2.02918751,
0fe1a1bf-20ba-4fc4-8779-80507146af95,Gorey Common N,2686,49.19386286,-2.03498921,
0fe942fc-62e0-43b2-9167-746be3817d25,Deloraine Road,2695,49.20279965,-2.09008569,
104196fd-b1e5-4bcd-bcc8-433fbf1fb176,Travers Farm Lane N,3573,49.17994142,-2.17551575,
10823948-3217-4fe1-a7a4-b967cc42d9a8,Seymour Inn S,3696,49.16949809,-2.02982559,1
10a9d459-d031-4598-9901-60d82db2f314,La Maitrerie Farm W,4627,49.22217327,-2.06269028,
10fbdd7d-e868-4c37-849b-e9db4ac62ad2,El Tico N,3258,49.20542395,-2.22210341,
110b84a4-f88a-4a30-9b8c-439b44d67a6b,Belval N,3428,49.22197596,-2.02629594,
11e321ff-54af-48d2-a655-c28963f374e0,St Peters Village S,3835,49.21309429,-2.18237911,1
133e291f-7ff6-481c-9b3d-89ca4ea28be0,Mont des Landes S,4637,49.21215983,-2.02703125,
134618a4-aac9-4ab8-a51c-de06793fa438,Mont des Landes N,4636,49.21229385,-2.02726257,
1359ffa1-05ab-455c-bad2-a415113c6be5,Jubilee Homes,3879,49.21483908,-2.18347206,1
13d30ceb-49a0-40f3-b8b3-059e3faf930d,Causie Lane W,2485,49.17326081,-2.04944736,
1413b418-5eac-4ed0-9ab3-076b40b4dfbd,Rue des Niemes,3528,49.21956245,-2.18839157,
14235dcd-5d4e-41d7-a2d3-0e29dfaf24c9,Le Catillon E,3923,49.20059454,-2.05896445,
142cd079-8082-4e86-9f81-11462a2d6cfa,Castle Quay S,4649,49.18269536,-2.11466105,
14673cf9-527b-4d9c-b61a-f6be2d8b46f0,Maison d'Azette,3273,49.16989966,-2.08422012,
147a41d7-ac5f-441f-afb6-d1585165a22a,St Peters House S,3834,49.22111692,-2.18281113,
15012a17-cfe1-4b0e-9a6a-3d0b91585430,Six Roads E,3728,49.22746944,-2.14969885,
152d824c-aaff-479f-adf9-cb83d3b2b67d,La Croix N,3526,49.23528047,-2.20381783,
154b3edd-90ae-4604-a0f1-970602f39065,Jeffreys Leap W,4254,49.20342998,-2.02064699,
158a43ba-726b-4d50-a830-2daffbd6d81f,Bagot Manor Avenue W,2364,49.18118078,-2.08742501,
15efc603-c16b-4540-84f0-d0b79fbb80ed,Rue de Belin S,3786,49.22035282,-2.04840775,
1668b3ee-2f03-408f-9851-ed56a4f4e0cd,Langford,3957,49.18596954,-2.09517037,1
167374a1-db9b-4ce4-842d-87917e161510,Havre des Pas W,3724,49.17741358,-2.09810192,
16a629ec-d079-4afc-9529-267efbc27c82,Cloverley Court S,2934,49.20810312,-2.03383865,
16b39a2f-a1ce-48ec-a86b-6f79346ce8ba,La Chasse W,2843,49.2336108,-2.19499924,
16bc708d-703b-4cbb-ac19-8fe5819ed96a,Miladi Farm Parade E,2572,49.18322712,-2.08151341,
17545da3-372e-408b-ac60-9896f9bd9d0c,Bonne Nuit Bay E,2434,49.25067628,-2.12105874,
180af5f5-0f91-429f-96d1-f071a645f30a,Hautes Croix Store S,2468,49.23857743,-2.11144612,
1887d421-39c3-4599-9bab-8ac1bbe80411,Corbiere,2545,49.18144015,-2.23824892,1
18a4ed44-56c5-408f-998f-77274c5e2224,Sunnyfields Farm,3269,49.21457183,-2.18343171,
18a5a5a0-89f4-40e5-8968-0fff4a32765e,Verona Stores N,3952,49.1829775,-2.03794995,
18b9066c-5a95-4974-a0d6-0fcfb20437eb,Dessous Les Hougues,3926,49.23544464,-2.22901088,
18ea271d-9c58-4f99-ad7d-f2aa67f36b5c,Rue au Blancq W,3898,49.1717405,-2.07099607,
1945a495-e7bd-4a8f-b4c3-8f2ffdfb11a5,The Powerhouse N,2359,49.19999237,-2.11329449,
195bedb1-e362-480e-ae8e-460f0b2f4002,Rue de la Commune,4596,49.19937022,-2.06782148,
19ab2bbe-0b2f-4011-874e-5d9c8066285e,Poplar Avenue N,3568,49.2106299,-2.06114307,
19d7280e-575e-4f10-a969-ab984e8ed3fe,Sydney Crill Park W,2428,49.16975152,-2.05280761,
19e7b26a-fe1d-4b00-aa5f-a42c7dffd113,Royal Hotel S,4674,49.18867751,-2.10288076,
19fedc85-3cfd-4074-bc8f-28d0588a0623,La Providence W,4282,49.20102224,-2.15273332,1
1aa1870e-64c4-4691-bab6-2d7a74d30106,Route du Francfief N,2853,49.19923888,-2.17892677,
1b6258aa-a8d5-405e-982c-7dc8969b286c,Clos St Andre N,4585,49.19615273,-2.12491449,
1c3d277a-6121-4922-b9e0-a8984f31abc0,Surville Cemetery S,2383,49.21492198,-2.11333836,1
1d7b69be-b939-4342-866b-f13630909dbb,Beach Road E,3482,49.17706849,-2.09642102,
1d862619-cac6-40f7-88ce-92fe11cbc3a6,Maufant Village S,3295,49.20937282,-2.0630935,
1ec69f1c-e6da-4bf6-a9b7-4d022b092894,St Martins Arsenal S,3986,49.2277417,-2.06919606,
1ed0442e-3c5c-4bea-a1ff-033bfcc76f34,Albert Road E,2658,49.17814888,-2.09085598,
1f83cca2-0172-4454-9800-1b6fcabd2448,Gargate N,2649,49.21458397,-2.17101403,
20a86807-22d2-46c4-869c-59ccd621c2a6,Les Croix S,2973,49.23697435,-2.09366096,
21af60ae-9650-4bd0-8473-b3ad027437c5,Eden Chapel,2583,49.20467691,-2.07117195,
22c98edc-eae0-4fd4-a701-aec5e693fc0a,Samares School,3686,49.17084744,-2.08238253,1
23086766-228b-4eda-aada-ae9e47da729a,West Hill,3975,49.20053814,-2.11562257,
233cb7a6-6a9a-405e-8949-1d7d58c13794,Red Houses Shops N,3596,49.19164669,-2.19992099,1
233f26a4-ed31-46a9-a8f3-aa6a42017109,La Maison Slipway N,3257,49.21839786,-2.03004114,
23510373-b452-48b8-8cad-2a7e22058efb,St Catherine,3752,49.22414891,-2.02043794,1
235ee172-5263-4bc2-b999-b0047c02dcd3,Howard Davis Mews,3963,49.18085197,-2.09716332,
23901cc2-0520-41a3-9242-1208738195a9,Church Lane,3784,49.21801016,-2.05161666,
23eb342c-0910-4621-926e-e0db965256d4,Ville de l'Eglise W,4352,49.21227447,-2.18672714,
23fc89db-3681-43d3-93b0-0625325e7a41,King Street,3472,49.18466276,-2.10680959,
24560e8a-932e-4ca1-9b74-5bae215c17e1,aMaizin! Park N,2392,49.22285624,-2.19248557,
24b7dc5e-87f7-40fe-bbd6-723826d11aaf,St Martins Hall W,3658,49.21899497,-2.05335988,
24ce67f0-d553-487a-90bc-cb9a4979398d,Clos des Blanches W,4568,49.17118272,-2.08675419,
24d7d2b0-6fb9-48d7-9510-b6a9cbe51a97,Trinity School S,3935,49.228897,-2.09345172,
24f4c937-4b97-4720-8edd-26b342d36a48,Les Routeurs S,4547,49.202969,-2.07409025,
24fbfcb8-4222-4b7d-b3fe-f617fb666366,Route du Francfief S,3264,49.19921698,-2.17886134,
251da299-79cb-46f5-9012-0b1f666d3ddd,Oxenford Close S,3538,49.22257145,-2.14204544,1
2580b232-b344-490e-9361-a9b775f005be,Highfield Lane S,2627,49.20420491,-2.08529145,
26438ca3-f807-467c-b7ef-5f74e025cc81,Longueville Court W,3865,49.18259181,-2.07494925,
26ae8d1f-41a0-4fb7-ab6d-03970b054049,Parcq du Rivage E,3525,49.19692003,-2.15296903,
26c08015-324f-4d9f-8242-1eae8f845b04,La Mare Wine Estate,4546,49.24582139,-2.16820535,1
2700149b-2d22-4818-8966-44b4cb0c7cf3,Portelet Bay,3574,49.17266891,-2.17298848,1
2703d8db-7724-471e-af52-8014beaff42e,Hautes Croix House,2754,49.23992858,-2.11137042,
2720930c-3b71-40fa-b021-576222a595fb,La Fosse S,2373,49.23230218,-2.04306294,
276f2581-cd5f-44c7-bfea-24f13efe014e,Three Oaks N,3894,49.21925983,-2.14049143,
278aa4f4-4cc6-4dfc-99fc-1ae821b811ff,First Tower E,2632,49.19438162,-2.12769645,1
2797fab2-85aa-4968-bffb-a3de9f81139a,Seven Oaks N,3723,49.18887153,-2.18016103,
2821ab24-d5f7-42be-a268-39979954d94a,Paul Mill S,3876,49.20646311,-2.08419859,
285f9baf-5e3b-4ea8-ba36-1f1257eca830,Georgetown Road E,2657,49.1789807,-2.09265991,
288cc5a9-8bee-40bd-902e-3f5d2376aeea,Mountrow Villas,2978,49.19953492,-2.07887534,
2892ff14-8a79-4fd0-9ddd-bc1c288f6e67,Bus Station Stand H,4532,49.18331174,-2.10985696,
28da98f5-ac20-486d-bd6b-8d82c8b9047d,St Peter Tech Park N,2792,49.21592897,-2.18450214,1
292db697-0a28-4576-9a14-a36bed994e3c,Belmont Road,4672,49.18696385,-2.10020225,
298446a5-1876-4f70-b805-aa511177b945,Le Rocquier School,2424,49.1707026,-2.06720589,
29a446d2-cccb-45e9-ba2d-6a502152413d,Grande Charriere,3623,49.17308061,-2.08897142,1
2a08a184-c36f-4927-834e-01e1c4338882,Jeffreys Leap E,2797,49.20345037,-2.02084265,
2a1524b8-e10d-4db0-a1fb-91d7267dd9c9,St Marys School E,2965,49.23630322,-2.17421667,
2a53ac38-6ea7-431f-8677-53d926593c93,Rue du Cerf E,3672,49.24175844,-2.15518549,
2a68cfb8-45be-40e2-a1cf-f598e52f8778,Marina Cottages,3289,49.20274294,-2.04551501,1
2a75f45c-7a3f-441c-ba25-d871c70a3e3d,Clos de Charriere E,4378,49.17391368,-2.08962501,
2a7efa7a-b913-461f-9827-106f92f9953c,Langley Avenue N,2827,49.19649272,-2.08976125,
2a843ad9-c744-4f25-8745-ee3d0f72dad5,Clos de Longueville,3654,49.1826208,-2.07984389,
2af648ae-2830-43a5-b261-63588fe55a41,Rue de Samares,3682,49.17208998,-2.07404617,
